pincode,latitude,longitude,address
754007,20.3477547,85.62292959999999,"Odisha 754007, India"
754008,20.3446291,85.49941919999999,"Odisha 754008, India"
328025,1.322652,103.862944,Singapore 328025
328026,26.4478457,77.4013403,"Rajasthan 328026, India"
328027,26.8367585,77.7337628,"Rajasthan 328027, India"
754012,20.3624288,85.735897,"Odisha 754012, India"
328029,26.7822216,78.04236829999999,"Rajasthan 328029, India"
328030,26.7161639,77.8138553,"Rajasthan 328030, India"
328031,26.5488193,77.4931403,"Rajasthan 328031, India"
202128,27.8755986,78.2362225,"Uttar Pradesh 202128, India"
754018,20.2740105,86.0223611,"Odisha 754018, India"
721253,22.7643619,87.32149079999999,"West Bengal 721253, India"
754022,20.6061458,85.9815339,"Odisha 754022, India"
754023,20.608935,86.1039189,"Odisha 754023, India"
754024,20.6574408,86.1446493,"Odisha 754024, India"
491881,21.4629811,80.8543847,"Chhattisgarh 491881, India"
754026,20.4080605,86.30471039999999,"Odisha 754026, India"
754027,20.5056376,85.7564107,"Odisha 754027, India"
721260,22.6716564,87.48020679999999,"West Bengal 721260, India"
491885,21.4974087,81.0533854,"Chhattisgarh 491885, India"
754030,20.4756766,85.50972259999999,"Odisha 754030, India"
754031,20.4343011,85.2929384,"Odisha 754031, India"
491888,21.6568624,80.9428911,"Chhattisgarh 491888, India"
754035,20.4735344,85.4272402,"Odisha 754035, India"
688501,9.4933309,76.3926668,"Kerala 688501, India"
688502,9.4508222,76.41581289999999,"Kuttanad Taluk, Kerala 688502, India"
688503,9.4187242,76.4273844,"Kuttanad Taluk, Kerala 688503, India"
262520,29.5567022,80.2432839,"Uttarakhand 262520, India"
262521,29.54931939999999,80.2990246,"Uttarakhand 262521, India"
262522,29.6245744,80.0758425,"Uttarakhand 262522, India"
262523,29.27830819999999,80.0534923,"Uttarakhand 262523, India"
262524,29.3949334,80.0758425,"Uttarakhand 262524, India"
262525,29.4565495,80.1316927,"Uttarakhand 262525, India"
262526,29.5956144,80.38256679999999,"Uttarakhand 262526, India"
262527,29.4728319,80.0423151,"Uttarakhand 262527, India"
262528,29.3388637,79.9416549,"Uttarakhand 262528, India"
262529,29.4828431,80.1763467,"Uttarakhand 262529, India"
262530,29.5304376,80.1986649,"Uttarakhand 262530, India"
262531,29.795721,80.0646682,"Uttarakhand 262531, India"
262532,29.7608854,79.9080757,"Uttarakhand 262532, India"
262533,29.8661457,80.08701549999999,"Uttarakhand 262533, India"
262534,29.7252633,80.0423151,"Uttarakhand 262534, India"
688521,9.5462565,76.3579401,"Kerala 688521, India"
688522,9.5722642,76.3289941,"Kerala 688522, India"
688523,9.5991995,76.32320419999999,"Kerala 688523, India"
262540,29.6288673,80.2878794,"Uttarakhand 262540, India"
262541,29.6764095,80.3101684,"Uttarakhand 262541, India"
262542,29.7140542,80.1986649,"Uttarakhand 262542, India"
262543,29.7468758,80.33245140000001,"Uttarakhand 262543, India"
262544,29.8737988,80.3435908,"Uttarakhand 262544, India"
262545,30.404838,80.4103957,"Uttarakhand 262545, India"
262546,30.2476931,80.7657804,"Uttarakhand 262546, India"
688531,9.740610499999999,76.32320419999999,"Kerala 688531, India"
688532,9.7623877,76.32320419999999,"Kerala 688532, India"
688533,9.792222599999999,76.3203091,"Kerala 688533, India"
262550,29.7726763,80.29345219999999,"Uttarakhand 262550, India"
262551,29.7722162,80.2098219,"Uttarakhand 262551, India"
262552,29.8236847,80.1316927,"Uttarakhand 262552, India"
262553,30.0437394,80.1651854,"Uttarakhand 262553, India"
262554,30.4338473,80.1875065,"Uttarakhand 262554, India"
262555,29.97112349999999,80.2655846,"Uttarakhand 262555, India"
688540,9.7723347,76.3000419,"Kerala 688540, India"
688541,9.7420182,76.3579401,"Kerala 688541, India"
754082,20.6896658,85.9917437,"Odisha 754082, India"
431515,18.8167392,76.5719414,"Maharashtra 431515, India"
229801,26.5094346,81.52672820000001,"Uttar Pradesh 229801, India"
229802,1.30698,103.8385349,Singapore 229802
688555,9.623255499999999,76.3810922,"Kerala 688555, India"
431517,18.7350779,76.4100267,"Maharashtra 431517, India"
262576,29.8168617,80.4270885,"Uttarakhand 262576, India"
688561,9.362255,76.36951669999999,"Kerala 688561, India"
688562,9.3579606,76.39845369999999,"Kuttanad Taluk, Kerala 688562, India"
262580,29.4273661,79.8968798,"Uttarakhand 262580, India"
431518,18.6499068,76.2015572,"Maharashtra 431518, India"
754102,20.3229599,86.0835415,"Odisha 754102, India"
754103,20.2538291,86.1853474,"Odisha 754103, India"
754104,20.3083438,86.231094,"Odisha 754104, India"
754105,20.2273542,86.0631561,"Odisha 754105, India"
688570,9.8509766,76.3579401,"Kerala 688570, India"
754107,20.153277,86.21076719999999,"Odisha 754107, India"
754108,20.1608397,86.28695069999999,"Odisha 754108, India"
754109,20.1761873,86.1700894,"Odisha 754109, India"
754110,20.1153599,86.3883506,"Odisha 754110, India"
754111,20.3696241,86.0427626,"Odisha 754111, India"
754112,20.4148662,85.9406745,"Odisha 754112, India"
754113,20.0877575,86.2056843,"Odisha 754113, India"
754114,20.2818948,86.1090119,"Odisha 754114, India"
688582,9.642216399999999,76.31265429999999,"Kerala 688582, India"
754119,20.0782187,86.317392,"Odisha 754119, India"
754120,20.2818145,86.6862879,"Odisha 754120, India"
431522,18.5906836,76.6643728,"Maharashtra 431522, India"
518302,15.6288734,77.22901929999999,"Andhra Pradesh 518302, India"
754130,20.3947853,86.1039189,"Odisha 754130, India"
754131,20.44237,86.1039189,"Odisha 754131, India"
754132,20.3489922,86.1853474,"Odisha 754132, India"
754133,20.332571,86.2514126,"Odisha 754133, India"
754134,20.3736649,86.2260131,"Odisha 754134, India"
754135,20.3449002,86.2717231,"Odisha 754135, India"
754136,20.2802189,86.3072469,"Odisha 754136, India"
491993,21.6757892,81.295925,"Chhattisgarh 491993, India"
754138,20.23348,86.34781509999999,"Odisha 754138, India"
491995,21.9004384,81.0754657,"Chhattisgarh 491995, India"
754140,20.3065241,86.4288534,"Odisha 754140, India"
754141,20.320248,86.51986509999999,"Odisha 754141, India"
754142,20.3105116,86.63087589999999,"Odisha 754142, India"
754143,20.3050426,86.6560709,"Paradeep, Odisha 754143, India"
492001,21.2329892,81.65829939999999,"Raipur, Chhattisgarh 492001, India"
492002,21.2452808,81.6377566,"Raipur, Chhattisgarh 492002, India"
492003,21.3017962,81.614468,"Chhattisgarh 492003, India"
492004,21.2592022,81.650083,"Raipur, Chhattisgarh 492004, India"
492005,21.2984852,81.7267341,"Chhattisgarh 492005, India"
492009,21.2634837,81.61720830000002,"Raipur, Chhattisgarh 492009, India"
492010,21.2466443,81.57609450000001,"Raipur, Chhattisgarh 492010, India"
492012,21.2351518,81.7021049,"Chhattisgarh 492012, India"
492013,21.2127961,81.6089873,"Chhattisgarh 492013, India"
492014,21.2791176,81.6938933,"Chhattisgarh 492014, India"
492015,21.1878237,81.7021049,"Chhattisgarh 492015, India"
754160,20.3141499,86.3655534,"Odisha 754160, India"
754162,20.3595491,86.403543,"Odisha 754162, India"
229881,1.312394,103.840535,Singapore 229881
604152,12.2153682,79.2563916,"Tamil Nadu 604152, India"
124406,28.8911244,76.79135579999999,"Haryana 124406, India"
623115,9.2418633,78.3159411,"Tamil Nadu 623115, India"
721420,21.8435963,87.4752551,"West Bengal 721420, India"
721422,21.8756506,87.6285099,"West Bengal 721422, India"
721423,21.7085353,87.60876379999999,"West Bengal 721423, India"
623120,9.1907523,78.41834659999999,"Tamil Nadu 623120, India"
721425,21.9956542,87.68769689999999,"West Bengal 721425, India"
721426,21.9060642,87.28172719999999,"West Bengal 721426, India"
305923,25.9055519,74.1827119,"Rajasthan 305923, India"
721428,21.6294112,87.4950586,"721428, India"
721429,21.8980378,87.5296943,"West Bengal 721429, India"
721430,21.9619062,87.8353278,"West Bengal 721430, India"
721431,21.8557777,87.92367469999999,"West Bengal 721431, India"
721432,21.9270392,87.9040571,"West Bengal 721432, India"
721433,21.76307,87.6729074,"West Bengal 721433, India"
721434,22.0842541,87.6334451,"West Bengal 721434, India"
